Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2007-01-07,54
2014-01-12,72,2007-01-14,53
2014-01-19,77,2007-01-21,65
2014-01-26,67,2007-01-28,57
2014-02-02,71,2007-02-04,49
2014-02-09,68,2007-02-11,60
2014-02-16,73,2007-02-18,63
2014-02-23,76,2007-02-25,58
2014-03-02,72,2007-03-04,58
2014-03-09,67,2007-03-11,56
2014-03-16,71,2007-03-18,63
2014-03-23,68,2007-03-25,50
2014-03-30,69,2007-04-01,49
2014-04-06,68,2007-04-08,54
2014-04-13,59,2007-04-15,59
2014-04-20,70,2007-04-22,62
2014-04-27,74,2007-04-29,56
2014-05-04,67,2007-05-06,54
2014-05-11,67,2007-05-13,54
2014-05-18,62,2007-05-20,53
2014-05-25,59,2007-05-27,51
2014-06-01,62,2007-06-03,45
2014-06-08,60,2007-06-10,55
2014-06-15,57,2007-06-17,44
2014-06-22,57,2007-06-24,43
2014-06-29,53,2007-07-01,51
2014-07-06,60,2007-07-08,46
2014-07-13,59,2007-07-15,47
2014-07-20,54,2007-07-22,40
2014-07-27,55,2007-07-29,38
2014-08-03,54,2007-08-05,43
2014-08-10,100,2007-08-12,43
2014-08-17,75,2007-08-19,45
2014-08-24,64,2007-08-26,48
2014-08-31,64,2007-09-02,47
2014-09-07,63,2007-09-09,52
2014-09-14,65,2007-09-16,53
2014-09-21,66,2007-09-23,47
2014-09-28,68,2007-09-30,44
2014-10-05,71,2007-10-07,53
2014-10-12,75,2007-10-14,54
2014-10-19,73,2007-10-21,52
2014-10-26,69,2007-10-28,60
2014-11-02,76,2007-11-04,51
2014-11-09,75,2007-11-11,57
2014-11-16,79,2007-11-18,57
2014-11-23,78,2007-11-25,50
2014-11-30,74,2007-12-02,43
2014-12-07,74,2007-12-09,47
2014-12-14,68,2007-12-16,38
2014-12-21,61,2007-12-23,34
2014-12-28,71,2007-12-30,44
