Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2012-01-01,64
2014-01-12,72,2012-01-08,70
2014-01-19,77,2012-01-15,67
2014-01-26,67,2012-01-22,65
2014-02-02,71,2012-01-29,66
2014-02-09,68,2012-02-05,68
2014-02-16,73,2012-02-12,63
2014-02-23,76,2012-02-19,63
2014-03-02,72,2012-02-26,65
2014-03-09,67,2012-03-04,66
2014-03-16,71,2012-03-11,66
2014-03-23,68,2012-03-18,64
2014-03-30,69,2012-03-25,60
2014-04-06,68,2012-04-01,54
2014-04-13,59,2012-04-08,64
2014-04-20,70,2012-04-15,64
2014-04-27,74,2012-04-22,67
2014-05-04,67,2012-04-29,66
2014-05-11,67,2012-05-06,65
2014-05-18,62,2012-05-13,63
2014-05-25,59,2012-05-20,53
2014-06-01,62,2012-05-27,51
2014-06-08,60,2012-06-03,53
2014-06-15,57,2012-06-10,59
2014-06-22,57,2012-06-17,59
2014-06-29,53,2012-06-24,60
2014-07-06,60,2012-07-01,47
2014-07-13,59,2012-07-08,51
2014-07-20,54,2012-07-15,52
2014-07-27,55,2012-07-22,54
2014-08-03,54,2012-07-29,51
2014-08-10,100,2012-08-05,53
2014-08-17,75,2012-08-12,47
2014-08-24,64,2012-08-19,59
2014-08-31,64,2012-08-26,56
2014-09-07,63,2012-09-02,57
2014-09-14,65,2012-09-09,54
2014-09-21,66,2012-09-16,57
2014-09-28,68,2012-09-23,60
2014-10-05,71,2012-09-30,60
2014-10-12,75,2012-10-07,61
2014-10-19,73,2012-10-14,62
2014-10-26,69,2012-10-21,58
2014-11-02,76,2012-10-28,59
2014-11-09,75,2012-11-04,59
2014-11-16,79,2012-11-11,65
2014-11-23,78,2012-11-18,63
2014-11-30,74,2012-11-25,65
2014-12-07,74,2012-12-02,60
2014-12-14,68,2012-12-09,57
2014-12-21,61,2012-12-16,56
2014-12-28,71,2012-12-23,47
1970-01-01,-1,2012-12-30,63
