Category: All categories

Week,Clinical depression: (United Kingdom)
2018-01-07,96
2018-01-14,94
2018-01-21,94
2018-01-28,96
2018-02-04,92
2018-02-11,89
2018-02-18,96
2018-02-25,77
2018-03-04,98
2018-03-11,99
2018-03-18,93
2018-03-25,85
2018-04-01,84
2018-04-08,86
2018-04-15,93
2018-04-22,96
2018-04-29,90
2018-05-06,91
2018-05-13,97
2018-05-20,90
2018-05-27,82
2018-06-03,90
2018-06-10,91
2018-06-17,84
2018-06-24,78
2018-07-01,76
2018-07-08,83
2018-07-15,84
2018-07-22,77
2018-07-29,82
2018-08-05,80
2018-08-12,85
2018-08-19,78
2018-08-26,80
2018-09-02,81
2018-09-09,84
2018-09-16,89
2018-09-23,88
2018-09-30,86
2018-10-07,100
2018-10-14,95
2018-10-21,93
2018-10-28,85
2018-11-04,97
2018-11-11,97
2018-11-18,90
2018-11-25,93
2018-12-02,94
2018-12-09,92
2018-12-16,78
2018-12-23,71
2018-12-30,84
