Category: All categories

Week,Clinical depression: (United Kingdom),Clinical depression: (United Kingdom)
2014-01-05,78,78
2014-01-12,72,72
2014-01-19,77,77
2014-01-26,67,67
2014-02-02,71,71
2014-02-09,68,68
2014-02-16,73,73
2014-02-23,76,76
2014-03-02,72,72
2014-03-09,67,67
2014-03-16,71,71
2014-03-23,68,68
2014-03-30,69,69
2014-04-06,68,68
2014-04-13,59,59
2014-04-20,70,70
2014-04-27,74,74
2014-05-04,67,67
2014-05-11,67,67
2014-05-18,62,62
2014-05-25,59,59
2014-06-01,62,62
2014-06-08,60,60
2014-06-15,57,57
2014-06-22,57,57
2014-06-29,53,53
2014-07-06,60,60
2014-07-13,59,59
2014-07-20,54,54
2014-07-27,55,55
2014-08-03,54,54
2014-08-10,100,100
2014-08-17,75,75
2014-08-24,64,64
2014-08-31,64,64
2014-09-07,63,63
2014-09-14,65,65
2014-09-21,66,66
2014-09-28,68,68
2014-10-05,71,71
2014-10-12,75,75
2014-10-19,73,73
2014-10-26,69,69
2014-11-02,76,76
2014-11-09,75,75
2014-11-16,79,79
2014-11-23,78,78
2014-11-30,74,74
2014-12-07,74,74
2014-12-14,68,68
2014-12-21,61,61
2014-12-28,71,71
