Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2020-01-05,71
2014-01-12,72,2020-01-12,71
2014-01-19,77,2020-01-19,73
2014-01-26,67,2020-01-26,70
2014-02-02,71,2020-02-02,72
2014-02-09,68,2020-02-09,70
2014-02-16,73,2020-02-16,78
2014-02-23,76,2020-02-23,74
2014-03-02,72,2020-03-01,74
2014-03-09,67,2020-03-08,64
2014-03-16,71,2020-03-15,47
2014-03-23,68,2020-03-22,38
2014-03-30,69,2020-03-29,46
2014-04-06,68,2020-04-05,46
2014-04-13,59,2020-04-12,50
2014-04-20,70,2020-04-19,54
2014-04-27,74,2020-04-26,54
2014-05-04,67,2020-05-03,58
2014-05-11,67,2020-05-10,55
2014-05-18,62,2020-05-17,62
2014-05-25,59,2020-05-24,55
2014-06-01,62,2020-05-31,54
2014-06-08,60,2020-06-07,57
2014-06-15,57,2020-06-14,65
2014-06-22,57,2020-06-21,57
2014-06-29,53,2020-06-28,59
2014-07-06,60,2020-07-05,61
2014-07-13,59,2020-07-12,61
2014-07-20,54,2020-07-19,61
2014-07-27,55,2020-07-26,57
2014-08-03,54,2020-08-02,57
2014-08-10,100,2020-08-09,55
2014-08-17,75,2020-08-16,60
2014-08-24,64,2020-08-23,57
2014-08-31,64,2020-08-30,56
2014-09-07,63,2020-09-06,60
2014-09-14,65,2020-09-13,55
2014-09-21,66,2020-09-20,55
2014-09-28,68,2020-09-27,60
2014-10-05,71,2020-10-04,62
2014-10-12,75,2020-10-11,66
2014-10-19,73,2020-10-18,64
2014-10-26,69,2020-10-25,56
2014-11-02,76,2020-11-01,63
2014-11-09,75,2020-11-08,66
2014-11-16,79,2020-11-15,65
2014-11-23,78,2020-11-22,61
2014-11-30,74,2020-11-29,58
2014-12-07,74,2020-12-06,61
2014-12-14,68,2020-12-13,56
2014-12-21,61,2020-12-20,47
2014-12-28,71,2020-12-27,57
