Category: All categories

Week,Clinical depression: (Australia),Clinical depression: (Australia)
2006-01-01,50,50
2006-01-08,41,41
2006-01-15,84,84
2006-01-22,56,56
2006-01-29,53,53
2006-02-05,80,80
2006-02-12,67,67
2006-02-19,53,53
2006-02-26,86,86
2006-03-05,72,72
2006-03-12,89,89
2006-03-19,86,86
2006-03-26,73,73
2006-04-02,80,80
2006-04-09,60,60
2006-04-16,62,62
2006-04-23,76,76
2006-04-30,69,69
2006-05-07,79,79
2006-05-14,100,100
2006-05-21,74,74
2006-05-28,78,78
2006-06-04,57,57
2006-06-11,54,54
2006-06-18,45,45
2006-06-25,46,46
2006-07-02,48,48
2006-07-09,50,50
2006-07-16,60,60
2006-07-23,61,61
2006-07-30,56,56
2006-08-06,63,63
2006-08-13,64,64
2006-08-20,70,70
2006-08-27,66,66
2006-09-03,58,58
2006-09-10,63,63
2006-09-17,68,68
2006-09-24,49,49
2006-10-01,54,54
2006-10-08,77,77
2006-10-15,56,56
2006-10-22,73,73
2006-10-29,69,69
2006-11-05,46,46
2006-11-12,58,58
2006-11-19,55,55
2006-11-26,67,67
2006-12-03,37,37
2006-12-10,45,45
2006-12-17,45,45
2006-12-24,48,48
2006-12-31,44,44
