Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2018-01-07,38
2006-01-08,41,2018-01-14,39
2006-01-15,84,2018-01-21,41
2006-01-22,56,2018-01-28,45
2006-01-29,53,2018-02-04,48
2006-02-05,80,2018-02-11,42
2006-02-12,67,2018-02-18,45
2006-02-19,53,2018-02-25,47
2006-02-26,86,2018-03-04,50
2006-03-05,72,2018-03-11,50
2006-03-12,89,2018-03-18,51
2006-03-19,86,2018-03-25,48
2006-03-26,73,2018-04-01,49
2006-04-02,80,2018-04-08,50
2006-04-09,60,2018-04-15,48
2006-04-16,62,2018-04-22,45
2006-04-23,76,2018-04-29,51
2006-04-30,69,2018-05-06,51
2006-05-07,79,2018-05-13,54
2006-05-14,100,2018-05-20,51
2006-05-21,74,2018-05-27,55
2006-05-28,78,2018-06-03,53
2006-06-04,57,2018-06-10,51
2006-06-11,54,2018-06-17,48
2006-06-18,45,2018-06-24,45
2006-06-25,46,2018-07-01,43
2006-07-02,48,2018-07-08,43
2006-07-09,50,2018-07-15,40
2006-07-16,60,2018-07-22,48
2006-07-23,61,2018-07-29,49
2006-07-30,56,2018-08-05,50
2006-08-06,63,2018-08-12,51
2006-08-13,64,2018-08-19,52
2006-08-20,70,2018-08-26,52
2006-08-27,66,2018-09-02,54
2006-09-03,58,2018-09-09,56
2006-09-10,63,2018-09-16,54
2006-09-17,68,2018-09-23,48
2006-09-24,49,2018-09-30,47
2006-10-01,54,2018-10-07,48
2006-10-08,77,2018-10-14,49
2006-10-15,56,2018-10-21,49
2006-10-22,73,2018-10-28,47
2006-10-29,69,2018-11-04,49
2006-11-05,46,2018-11-11,43
2006-11-12,58,2018-11-18,43
2006-11-19,55,2018-11-25,38
2006-11-26,67,2018-12-02,39
2006-12-03,37,2018-12-09,36
2006-12-10,45,2018-12-16,36
2006-12-17,45,2018-12-23,32
2006-12-24,48,2018-12-30,40
2006-12-31,44,1970-01-01,-1
