Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2011-01-02,61
2014-01-12,72,2011-01-09,62
2014-01-19,77,2011-01-16,57
2014-01-26,67,2011-01-23,56
2014-02-02,71,2011-01-30,58
2014-02-09,68,2011-02-06,59
2014-02-16,73,2011-02-13,57
2014-02-23,76,2011-02-20,51
2014-03-02,72,2011-02-27,57
2014-03-09,67,2011-03-06,60
2014-03-16,71,2011-03-13,55
2014-03-23,68,2011-03-20,61
2014-03-30,69,2011-03-27,62
2014-04-06,68,2011-04-03,58
2014-04-13,59,2011-04-10,60
2014-04-20,70,2011-04-17,59
2014-04-27,74,2011-04-24,57
2014-05-04,67,2011-05-01,55
2014-05-11,67,2011-05-08,60
2014-05-18,62,2011-05-15,60
2014-05-25,59,2011-05-22,56
2014-06-01,62,2011-05-29,53
2014-06-08,60,2011-06-05,57
2014-06-15,57,2011-06-12,52
2014-06-22,57,2011-06-19,56
2014-06-29,53,2011-06-26,49
2014-07-06,60,2011-07-03,48
2014-07-13,59,2011-07-10,45
2014-07-20,54,2011-07-17,51
2014-07-27,55,2011-07-24,51
2014-08-03,54,2011-07-31,49
2014-08-10,100,2011-08-07,47
2014-08-17,75,2011-08-14,52
2014-08-24,64,2011-08-21,50
2014-08-31,64,2011-08-28,45
2014-09-07,63,2011-09-04,51
2014-09-14,65,2011-09-11,49
2014-09-21,66,2011-09-18,52
2014-09-28,68,2011-09-25,56
2014-10-05,71,2011-10-02,56
2014-10-12,75,2011-10-09,61
2014-10-19,73,2011-10-16,54
2014-10-26,69,2011-10-23,52
2014-11-02,76,2011-10-30,60
2014-11-09,75,2011-11-06,60
2014-11-16,79,2011-11-13,66
2014-11-23,78,2011-11-20,63
2014-11-30,74,2011-11-27,84
2014-12-07,74,2011-12-04,65
2014-12-14,68,2011-12-11,66
2014-12-21,61,2011-12-18,52
2014-12-28,71,2011-12-25,53
