Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2021-01-03,64
2014-01-12,72,2021-01-10,65
2014-01-19,77,2021-01-17,66
2014-01-26,67,2021-01-24,66
2014-02-02,71,2021-01-31,62
2014-02-09,68,2021-02-07,63
2014-02-16,73,2021-02-14,63
2014-02-23,76,2021-02-21,64
2014-03-02,72,2021-02-28,60
2014-03-09,67,2021-03-07,63
2014-03-16,71,2021-03-14,70
2014-03-23,68,2021-03-21,67
2014-03-30,69,2021-03-28,59
2014-04-06,68,2021-04-04,59
2014-04-13,59,2021-04-11,60
2014-04-20,70,2021-04-18,59
2014-04-27,74,2021-04-25,58
2014-05-04,67,2021-05-02,61
2014-05-11,67,2021-05-09,65
2014-05-18,62,2021-05-16,61
2014-05-25,59,2021-05-23,59
2014-06-01,62,2021-05-30,54
2014-06-08,60,2021-06-06,56
2014-06-15,57,2021-06-13,54
2014-06-22,57,2021-06-20,56
2014-06-29,53,2021-06-27,54
2014-07-06,60,2021-07-04,53
2014-07-13,59,2021-07-11,49
2014-07-20,54,2021-07-18,46
2014-07-27,55,2021-07-25,52
2014-08-03,54,2021-08-01,53
2014-08-10,100,2021-08-08,49
2014-08-17,75,2021-08-15,49
2014-08-24,64,2021-08-22,50
2014-08-31,64,2021-08-29,53
2014-09-07,63,2021-09-05,51
2014-09-14,65,2021-09-12,51
2014-09-21,66,2021-09-19,51
2014-09-28,68,2021-09-26,50
2014-10-05,71,2021-10-03,56
2014-10-12,75,2021-10-10,60
2014-10-19,73,2021-10-17,58
2014-10-26,69,2021-10-24,55
2014-11-02,76,2021-10-31,55
2014-11-09,75,2021-11-07,61
2014-11-16,79,2021-11-14,57
2014-11-23,78,2021-11-21,55
2014-11-30,74,2021-11-28,48
2014-12-07,74,2021-12-05,56
2014-12-14,68,2021-12-12,54
2014-12-21,61,2021-12-19,49
2014-12-28,71,2021-12-26,51
