Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2023-02-25 07:59:07",118.29,32.35,4.24,81.68,59.71,
"2023-02-24 07:46:52",118.33,32.27,4.25,81.79,59.78,
"2023-02-23 07:37:06",118.50,32.73,4.23,81.52,59.64,
"2023-02-22 07:40:03",119.02,30.75,4.39,83.86,61.05,
"2023-02-21 07:46:38",119.09,30.46,4.42,84.19,61.27,
"2023-02-20 07:51:46",120.19,30.89,4.46,84.82,61.73,
"2023-02-18 07:39:01",120.13,31.44,4.41,84.27,61.38,
"2023-02-16 07:58:36",120.97,30.50,4.53,85.92,62.47,
"2023-02-15 07:52:05",119.31,30.60,4.42,84.27,61.33,
"2023-02-14 09:04:43",120.42,30.57,4.49,85.33,62.07,
"2023-02-13 07:48:17",120.13,29.56,4.55,86.00,62.50,
"2023-02-11 07:58:51",120.49,31.68,4.42,84.38,61.48,
"2023-02-10 07:54:34",120.27,30.82,4.47,84.97,61.83,
"2023-02-09 08:15:23",121.02,31.23,4.48,85.29,62.07,
"2023-02-08 08:56:55",122.02,31.59,4.52,85.90,62.52,
"2023-02-07 07:39:36",121.80,31.79,4.49,85.51,62.26,
"2023-02-06 08:45:33",122.52,33.53,4.41,84.56,61.76,
"2023-02-04 07:44:39",121.20,31.84,4.45,84.90,61.85,
"2023-02-03 08:30:41",121.00,32.53,4.39,84.07,61.34,
"2023-02-02 08:15:22",120.87,31.49,4.45,84.92,61.84,
"2023-02-01 08:44:07",122.28,33.35,4.41,84.51,61.71,
"2023-01-31 09:06:23",122.90,35.05,4.33,83.50,61.23,
"2023-01-30 09:12:28",121.93,36.60,4.18,81.13,59.91,
"2023-01-29 10:00:45",121.90,35.12,4.27,82.49,60.58,
"2023-01-28 08:54:47",121.71,35.81,4.22,81.66,60.13,
"2023-01-27 09:17:52",122.05,34.03,4.35,83.66,61.21,
"2023-01-26 09:00:37",121.77,36.59,4.17,80.99,59.81,
"2023-01-25 08:58:54",121.66,36.62,4.17,80.86,59.73,
"2023-01-24 09:55:20",122.18,36.93,4.18,81.06,59.91,
"2023-01-23 09:38:01",122.03,36.07,4.22,81.72,60.21,
"2023-01-22 09:50:10",122.54,38.45,4.11,79.97,59.47,
"2023-01-21 09:10:28",122.53,37.09,4.19,81.24,60.05,
"2023-01-20 09:05:50",122.71,38.10,4.14,80.46,59.72,
"2023-01-19 09:34:06",122.77,37.17,4.19,81.40,60.16,
"2023-01-18 08:59:32",123.53,37.55,4.21,81.76,60.45,
"2023-01-17 09:12:58",124.24,38.01,4.22,82.00,60.67,
"2023-01-15 10:02:05",124.45,38.43,4.21,81.79,60.61,
"2023-01-14 10:02:18",123.92,37.86,4.21,81.82,60.54,
"2023-01-13 09:25:18",123.37,38.79,4.13,80.44,59.82,
"2023-01-11 09:17:53",124.90,39.71,4.16,81.01,60.34,
"2023-01-10 09:04:38",125.34,40.07,4.16,81.09,60.45,
"2023-01-09 09:03:38",124.71,40.43,4.11,80.15,59.94,
"2022-12-23 07:33:01",126.01,47.25,3.85,74.90,58.28,
"2022-12-22 10:20:59",126.26,46.44,3.89,75.91,58.67,
"2022-12-21 09:00:01",127.06,47.77,3.87,75.40,58.69,
"2022-12-20 09:26:01",127.31,47.07,3.91,76.31,59.05,
"2022-12-19 07:40:37",126.41,50.71,3.73,71.96,57.48,
"2022-12-18 10:59:37",126.10,48.93,3.78,73.38,57.82,
"2022-12-17 09:35:09",125.76,48.96,3.77,73.01,57.62,
"2022-12-16 08:46:35",126.61,48.93,3.80,73.87,58.10,
"2022-12-15 10:05:59",126.54,46.58,3.90,76.04,58.78,
"2022-12-14 09:01:56",127.24,47.28,3.90,76.05,58.95,
"2022-12-13 09:16:03",128.12,48.57,3.88,75.66,59.03,
"2022-12-12 09:08:18",127.82,48.27,3.88,75.66,58.96,
"2022-12-11 10:42:22",126.96,46.19,3.93,76.82,59.14,
"2022-12-10 08:51:35",127.35,48.87,3.83,74.62,58.51,
"2022-12-09 09:00:40",127.06,49.25,3.81,73.98,58.24,
"2022-12-08 09:24:12",127.68,47.85,3.89,75.92,59.01,
"2022-12-07 09:22:32",128.15,48.19,3.90,76.06,59.17,
"2022-12-06 08:42:58",128.27,48.03,3.91,76.32,59.28,
"2022-12-05 09:15:52",128.29,48.33,3.90,76.06,59.20,
"2022-12-04 10:42:54",128.43,49.83,3.84,74.74,58.82,
"2022-12-03 09:27:52",128.64,48.52,3.90,76.20,59.33,
"2022-12-02 10:48:07",127.58,48.42,3.86,75.29,58.79,
"2022-12-01 10:08:43",128.53,49.80,3.84,74.87,58.89,
"2022-11-30 09:10:17",128.02,48.86,3.86,75.28,58.89,
"2022-11-29 09:49:21",129.12,49.84,3.87,75.39,59.19,
"2022-11-28 09:17:39",129.75,50.07,3.88,75.79,59.47,
"2022-11-27 09:11:49",129.28,51.14,3.82,74.31,58.90,
"2022-11-26 09:17:03",130.49,51.69,3.85,74.94,59.39,
"2022-11-25 09:09:24",130.56,52.05,3.83,74.66,59.33,
"2022-11-24 10:11:53",130.82,50.14,3.92,76.73,60.02,
"2022-11-23 09:56:45",130.80,48.96,3.98,77.85,60.38,
"2022-11-22 08:55:14",131.18,50.51,3.92,76.73,60.11,
"2022-11-21 10:01:18",130.54,52.03,3.83,74.66,59.32,
"2022-11-20 09:20:51",131.40,52.79,3.84,74.75,59.57,
"2022-11-19 08:59:44",130.26,49.01,3.95,77.29,60.07,
"2022-11-18 09:05:20",131.09,51.44,3.88,75.75,59.79,
"2022-11-17 09:12:38",130.69,52.48,3.82,74.37,59.28,
"2022-11-16 09:02:55",131.32,51.54,3.89,75.88,59.88,
"2022-11-15 08:37:32",131.75,49.91,3.97,77.85,60.61,
"2022-11-14 08:58:24",131.56,50.75,3.93,76.87,60.24,
"2022-11-13 08:38:07",131.44,54.60,3.77,73.05,59.10,
"2022-11-12 08:48:50",131.59,53.00,3.84,74.74,59.61,
"2022-11-11 08:55:00",130.90,51.10,3.89,75.90,59.78,
"2022-11-10 08:52:37",131.38,53.21,3.82,74.33,59.44,
"2022-11-09 08:35:56",131.35,53.33,3.81,74.19,59.39,
"2022-11-08 08:35:49",131.73,52.85,3.85,75.02,59.73,
"2022-11-07 08:27:34",131.94,54.71,3.78,73.43,59.33,
"2022-11-06 09:28:23",131.24,53.36,3.81,74.06,59.33,
"2022-11-04 07:43:43",131.87,56.56,3.71,71.58,58.82,
"2022-11-03 07:39:56",131.92,55.58,3.75,72.58,59.10,
"2022-11-02 08:11:33",132.24,56.08,3.74,72.40,59.13,
"2022-11-01 07:53:32",133.87,53.28,3.92,76.66,60.75,
"2022-10-31 08:48:43",134.09,54.59,3.87,75.61,60.50,
"2022-10-30 07:54:03",132.72,51.79,3.93,76.99,60.56,
"2022-10-29 08:50:59",132.64,58.92,3.66,70.05,58.65,
"2022-10-28 08:42:27",133.04,58.94,3.67,70.42,58.85,
"2022-10-27 09:08:22",132.28,56.40,3.73,72.13,59.08,
"2022-10-26 08:43:37",133.72,59.57,3.67,70.46,59.05,
"2022-10-25 07:38:00",134.55,59.92,3.69,70.93,59.39,
"2022-10-24 09:19:18",133.97,55.68,3.82,74.45,60.14,
"2022-10-22 08:55:17",133.57,55.10,3.83,74.63,60.09,
"2022-10-21 08:38:56",134.43,55.72,3.84,74.86,60.38,
"2022-10-20 09:05:30",133.41,56.31,3.78,73.31,59.69,
"2022-10-19 08:27:16",133.64,57.63,3.74,72.25,59.47,
"2022-10-18 08:49:32",134.94,60.85,3.67,70.41,59.37,
"2022-10-17 08:43:20",134.00,60.51,3.65,69.82,58.97,
"2022-10-16 09:04:07",134.30,58.70,3.72,71.87,59.56,
"2022-10-15 08:59:07",134.98,60.73,3.67,70.56,59.42,
"2022-10-14 08:40:52",134.54,62.88,3.59,68.06,58.72,
"2022-10-13 09:48:36",134.54,61.46,3.63,69.42,59.03,
"2022-10-12 09:00:38",135.47,64.18,3.57,67.71,58.91,
"2022-10-11 09:03:15",134.87,65.32,3.52,66.01,58.37,
"2022-10-09 08:42:00",135.19,57.02,3.82,74.34,60.43,
"2022-10-08 09:03:14",136.20,58.95,3.78,73.46,60.47,
"2022-10-06 09:02:49",136.56,60.32,3.74,72.48,60.32,
"2022-10-05 08:48:07",136.33,57.31,3.85,75.16,60.95,
"2022-10-04 08:34:16",136.61,57.78,3.84,74.97,60.98,
"2022-09-30 08:48:00",137.00,65.58,3.58,67.82,59.37,"started 18mg methylphenidate "
"2022-09-27 08:44:45",137.37,62.09,3.71,71.56,60.32,
"2022-09-24 09:19:32",138.23,60.75,3.79,73.68,61.07,
"2022-09-16 10:15:55",136.76,61.84,3.70,71.21,60.07,
"2022-09-08 09:28:55",139.54,62.05,3.78,73.69,61.43,
"2022-08-15 08:47:42",140.33,60.15,3.89,76.27,62.31,
"2022-07-23 09:13:03",137.80,59.06,3.84,74.89,61.28,
"2022-06-29 08:39:58",138.18,59.97,3.81,74.39,61.26,
"2022-06-27 09:47:35",137.80,57.70,3.89,76.19,61.63,
"2022-06-21 09:55:57",137.40,59.26,3.81,74.32,61.03,
"2022-06-18 09:52:20",137.62,60.17,3.79,73.65,60.92,
"2022-06-17 09:33:03",137.25,60.24,3.77,73.22,60.71,
